setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3000.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.96208621351,19824.60576576574,1243.261465942695,72692.6926926926,0.09194390774252162,0.0801837539800576,nan,nan,3.295524281945332,34.24229662537204,35.5293436679446,35.61398244766051,35.61398244766051
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3000.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6027759047083,64784.78478478426,17667.976936936793,1193.8610989690806,18664.394054053926,1215.979011107472,68438.43843843797,0.09194390774252162,0.0801837539800576,0.06347474063952163,0.07505127461266348,3.4254028050838174,35.290560278914604,38.12640149326774,38.358153588239595,38.358153588239595
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,3000.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6226496585246,55275.27527527527,15074.562522522521,1141.981958276839,17531.4814414414,1190.9257260267286,64284.284284284135,0.09194390774252162,0.0801837539800576,0.07625016029432659,0.0995894685983636,3.449940999069517,30.776174624964682,33.94413709042678,34.20868045474653,34.20868045474653
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10000.0,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,65885.88588588542,17968.2670270269,1200.3990558080798,18254.907567567458,1206.7426189508153,66936.93693693653,0.09194390774252162,0.0801837539800576,0.027745878944607606,0.030561734457085432,3.38091326473693,45.84494359472278,47.45648492432759,47.57965348319124,47.57965348319124
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10000.0,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.9620862135594,19756.35801801807,1241.6110841162476,72442.44244244263,0.09194390774252162,0.0801837539800576,nan,nan,3.295539251968917,35.97449457814134,37.48582471128525,37.60613767437154,37.60613767437154
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10000.0,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6027759047083,64584.58458458464,17613.378738738753,1192.6842178652926,18568.847207207215,1213.8055264919321,68088.08808808812,0.09194390774252162,0.0801837539800576,0.06406981163890295,0.07506011946760172,3.4254116495859463,35.40101382769807,39.028590116370424,39.30973404483599,39.30973404483599
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,10000.0,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6226496585246,55275.275275275264,15074.56252252252,1141.9819582768384,17476.883243243243,1189.7579511455315,64084.08408408408,0.09194390774252162,0.0801837539800576,0.07658948551277527,0.09947349720919041,3.449825026778894,27.13458486149529,31.99716943023263,32.3694809921905,32.3694809921905
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.01,sammon_2021_lower_crust,985.1356247113771,1241.7144423920147,8181.540000000001,2949.1144812839534,108000.0,30000.0,1241.7069783742563,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,3.015590803403657,0.8252580342480863,0.8252580342480863,0.8254428571744504,0.8254428571744504
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.01,sammon_2021_deep_crust,985.1356247113771,1241.7144423920147,8181.540000000001,2879.6593341500957,108000.0,30000.0,1241.706978374256,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,2.9496868107913072,0.9655535903358081,0.9655535903358081,0.9658690810348626,0.9658690810348626
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.01,hacker_2015_md_xenolith,985.1356247113771,1241.7144423920147,8181.540000000001,2986.8069764499674,108000.0,30000.0,1241.7069783742563,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,3.052652505104031,0.7948984798654148,0.7948984798654148,0.7950485447965389,0.7950485447965389
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.01,mackwell_1998_maryland_diabase,985.1356247113771,1241.7144423920147,8181.540000000001,3045.941351304634,108000.0,30000.0,1241.7069783742559,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,3.1099388855142327,0.7641847321703066,0.7641847321703066,0.7643406980443459,0.7643406980443459
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.03,sammon_2021_lower_crust,985.1356247113771,1241.7144423920147,8181.540000000001,2949.1144812839534,108000.0,30000.0,1241.706978374256,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,3.0227908028261554,1.054864500497572,1.0771076623022702,1.0783728262033625,1.0783728262033625
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.03,sammon_2021_deep_crust,985.1356247113771,1241.7144423920147,8181.540000000001,2879.6593341500957,108000.0,30000.0,1241.7069783742563,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,2.9556285880352577,0.9962591822702717,1.0116253307102228,1.0125014175963218,1.0125014175963218
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.03,hacker_2015_md_xenolith,985.1356247113771,1241.7144423920147,8181.540000000001,2986.8069764499674,108000.0,30000.0,1241.706978374256,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,3.060263373726087,1.0785817825492603,1.1027219009460163,1.104093770347678,1.104093770347678
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.03,mackwell_1998_maryland_diabase,985.1356247113771,1241.7144423920147,8181.540000000001,3045.941351304634,108000.0,30000.0,1241.706978374256,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,3.1175767971037387,1.0320975046025096,1.0550691830012902,1.0563737871143102,1.0563737871143102
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.1,sammon_2021_lower_crust,985.1356247113771,1241.7144423920147,8181.540000000001,2949.1144812839534,108000.0,30000.0,1241.706978374256,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,3.042569845073982,2.088741550647359,2.1646205632241227,2.1688803455024575,2.1688803455024575
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.1,sammon_2021_deep_crust,985.1356247113771,1241.7144423920147,8181.540000000001,2879.6593341500957,108000.0,30000.0,1241.706978374256,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,2.9717615462337403,1.8725236248176973,1.935980095668246,1.9395432953108795,1.9395432953108795
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.1,hacker_2015_md_xenolith,985.1356247113771,1241.7144423920147,8181.540000000001,2986.8069764499674,108000.0,30000.0,1241.7069783742563,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,3.0813189375625236,2.1644845830901818,2.2438131465527666,2.2482606049921525,2.2482606049921525
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.1,mackwell_1998_maryland_diabase,985.1356247113771,1241.7144423920147,8181.540000000001,3045.941351304634,108000.0,30000.0,1241.7069783742563,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,3.1390427498581723,2.1085776867838995,2.1827468277336903,2.1869055768952252,2.1869055768952252
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.3,sammon_2021_lower_crust,985.1356247113771,1241.7144423920147,8181.540000000001,2949.1144812839534,108000.0,30000.0,1241.7069783742563,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,3.0850088600279753,4.2594661271628365,4.412323810535661,4.4206640699812185,4.4206640699812185
b,60000.0,,,1.95e-06,12500.0,3.0,283.15,1603.15,0.3,sammon_2021_deep_crust,985.1356247113771,1241.7144423920147,8181.540000000001,2879.6593341500957,108000.0,30000.0,1241.706978374256,nan,nan,nan,0.08533866668423332,0.07631977782462214,nan,nan,3.0067445144338234,3.7526911315863862,3.889450742086426,3.896952082731601,3.896952082731601
